Name,Designer,Gender,Img_url,Rating,Count,love,like,dislike,spring,summer,autumn,winter,day/night,longevitypoor,longevityweak,longevitymoderate,longevitylonglasting,longevityverylonglasting,sillagesoft,sillagemoderate,sillageheavy,sillageenormous,top_notes,middle_notes,base_notes,MUSK__AMBER__ANIMALIC_SMELLS,SWEETS_AND_GOURMAND_SMELLS,RESINS_AND_BALSAMS,SPICES,WOODS_AND_MOSSES,BEVERAGES,CITRUS_SMELLS,NATURAL_AND_SYNTHETIC__POPULAR_AND_WEIRD,GREENS__HERBS_AND_FOUGERES,FRUITS__VEGETABLES_AND_NUTS,FLOWERS,WHITE_FLOWERS
Coco Mademoiselle,Chanel,women,https://fimgs.net/images/perfume/375x500.611.jpg,0.751295337,0.891877748,0.61724671,0.332746385,0.20012791,0.505594276,0.18299181,0.52072881,0.408769398,0.524370001,0.055865299,0.103002976,0.149738879,0.544189175,0.573827848,0.073888027,0.328621909,0.740257543,0.262477257,"Orange, Mandarin Orange, Orange Blossom, Bergamot","Mimosa, Jasmine, Turkish Rose, Ylang-Ylang","Tonka Bean, Patchouli, Opoponax, Vanilla, Vetiver, White Musk",0.052087302,0,0.04673899,0.122640852,0.206268946,0,0.337783396,0,0,0,0.279710222,0.162512392
La Nuit de l`Homme,Yves Saint Laurent,men,https://fimgs.net/images/perfume/375x500.5521.jpg,0.943005181,0.684320703,0.823427806,0.245627636,0.027519987,0.193191049,0.075071044,0.676240581,0.717909929,0.021017913,0.091263699,0.180872561,0.465118154,0.71010422,0.095265101,0.185830786,0.767492996,0.308188834,0.091564676,Cardamom,"Bergamot, Virginia Cedar, Lavender","Vetiver, Caraway",0,0,0,0.528372519,0.234507607,0,0.141059533,0,0,0,0.309419845,0
Hypnotic Poison,Christian Dior,women,https://fimgs.net/images/perfume/375x500.219.jpg,0.678756477,0.851789826,0.6403665,0.181379924,0.319629128,0.038992689,0.054803556,0.589153989,0.975466258,0.080059688,0.060420687,0.076712086,0.18314598,0.511277579,0.583295173,0.064067231,0.275508083,0.714278988,0.352455792,"Apricot, Plum, Coconut","Tuberose, Jasmine, Lily-of-the-Valley, Rose, Brazilian Rosewood, Caraway","Sandalwood, Almond, Vanilla, Musk",0.04139883,0,0,0.356604419,0.15071814,0,0,0,0,0.602640776,0.033546074,0.09973621
Terre d'Hermes,Hermès,men,https://fimgs.net/images/perfume/375x500.17.jpg,0.834196891,0.637638685,0.729087002,0.251647657,0.139686078,0.498007295,0.236598834,0.566651748,0.295697286,0.60999181,0.054420242,0.08464366,0.313620925,0.884157886,0.165636693,0.094179755,0.688978089,0.46945131,0.124618371,"Orange, Grapefruit","Pepper, Pelargonium","Patchouli, Cedar, Vetiver, Benzoin",0,0,0.094381477,0.184850751,0.422495728,0,0.405950817,0,0,0,0.069393404,0
Alien,Mugler,women,https://fimgs.net/images/perfume/375x500.707.jpg,0.606217617,0.883504291,0.558453196,0.221160177,0.383135265,0.156335173,0.097837362,0.584677574,0.805475604,0.110377333,0.036400361,0.033982637,0.111467114,0.441497858,0.745272248,0.023478198,0.127208482,0.509835409,0.742560099,Jasmine,Woodsy Notes,Amber,0.28224166,0,0,0,0.273967847,0,0,0,0,0,0,0.561812855
D&G Light Blue,Dolce&Gabbana,women,https://fimgs.net/images/perfume/375x500.485.jpg,0.533678756,0.873351476,0.316921048,0.53147917,0.381106523,0.440060346,0.741618169,0.070563157,0.083034273,0.915761279,0.171561099,0.421961714,0.634492656,0.2854371,0.099332182,0.32041636,0.74112767,0.187530308,0.079056726,"Apple, Cedar, Bellflower, Sicilian Lemon","White Rose, Bamboo, Jasmine","Amber, Musk, Cedar",0.111047877,0,0,0,0.280950041,0,0.388559517,0,0,0.240629573,0.074960748,0.098775136
Bleu de Chanel,Chanel,men,https://fimgs.net/images/perfume/375x500.9099.jpg,0.74611399,0.646535483,0.566360617,0.404778195,0.193175626,0.502905705,0.340407227,0.431542144,0.266828693,0.44820252,0.08064983,0.143740456,0.423197792,0.733180341,0.141560958,0.145781616,0.807846961,0.31307868,0.091115646,"Labdanum, Nutmeg, Ginger, Sandalwood, Patchouli, Mint, Jasmine, Grapefruit, Lemon, Vetiver, Incense, Cedar, Pink Pepper","Labdanum, Nutmeg, Ginger, Sandalwood, Patchouli, Mint, Jasmine, Grapefruit, Lemon, Vetiver, Incense, Cedar, Pink Pepper","Labdanum, Nutmeg, Ginger, Sandalwood, Patchouli, Mint, Jasmine, Grapefruit, Lemon, Vetiver, Incense, Cedar, Pink Pepper",0,0,0.242196794,0.285869787,0.226332428,0,0.333054837,0,0.105904723,0,0,0.038605245
Aventus,Creed,men,https://fimgs.net/images/perfume/375x500.9828.jpg,0.937823834,0.499267323,0.929461556,0.052888612,0.083824205,0.505821824,0.406366504,0.394015514,0.203642638,0.533494057,0.110291602,0.118005607,0.260327467,0.728197126,0.275761018,0.140123284,0.549952988,0.519975917,0.167410537,"Bergamot, Black Currant, Pineapple, Apple","Birch, Patchouli, Rose, Moroccan Jasmine","Musk, oak moss, Vanille, Ambergris",0.14153584,0,0,0.03389258,0.339701423,0,0.087809213,0,0,0.576204722,0.02654323,0.030856628
Lolita Lempicka,Lolita Lempicka,women,https://fimgs.net/images/perfume/375x500.456.jpg,0.611398964,0.709127067,0.461881725,0.393222155,0.335265558,0.229623613,0.111015519,0.586197346,0.715092025,0.345614097,0.086276444,0.133970964,0.418375355,0.691137084,0.181168391,0.124481309,0.743722483,0.364728478,0.132489073,"Violet, Ivy, Star Anise","iris, Amaryllis, Licorice, Orris Root, Cherry","Tonka Bean, Vanilla, Vetiver, White Musk, Praline",0.03241791,0.087104478,0,0.599060957,0.033627319,0,0,0,0.069101399,0.122425769,0.298104938,0
J`adore,Christian Dior,women,https://fimgs.net/images/perfume/375x500.210.jpg,0.528497409,0.761670505,0.304720353,0.547956284,0.380217825,0.669429104,0.226225621,0.420103547,0.283739754,0.541207024,0.043863819,0.13545266,0.444597156,0.711607772,0.175180065,0.088995138,0.731570611,0.39135213,0.160235966,"Magnolia, Melon, Peach, Pear, Bergamot, Mandarin Orange","Tuberose, Plum, Violet, Orchid, Freesia, Jasmine, Lily-of-the-Valley, Rose","Musk, Vanilla, Cedar, Blackberry",0.043067553,0,0,0.040983611,0.023201448,0,0.067445413,0,0,0.468057669,0.429762869,0.248588392
